sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-05-13;24,768;24,907;25,117;25,396;24,628;24,768;24,995;41087,136572034884;1026962,4;111;
2014-05-12;24,977;25,117;25,117;25,117;24,628;25,117;24,895;81430,3875694906;2027225,6;228;
2014-05-09;24,977;25,047;24,628;25,117;24,628;24,977;24,887;33724,24601979379;839292,5;114;
2014-05-08;25,047;25,117;24,977;25,117;24,768;25,117;24,939;67967,34864459268;1695029,7;167;
2014-05-07;24,768;24,977;25,047;25,814;24,768;24,768;25,182;127185,80028103283;3202804,6;259;
2014-05-06;25,047;25,187;24,14;25,884;24,14;25,187;25,075;207806,37022116463;5210733,1;395;
2014-05-05;24,21;24,349;24,419;24,419;23,721;24,349;24,103;103639,45689146369;2498035,6;301;
2014-05-02;24,28;24,419;24,14;24,698;24,00;24,419;24,409;101291,70241909248;2472475,1;238;
2014-04-30;23,861;24,00;23,931;24,07;23,512;24,00;23,833;41280,63281975778;983835,6;102;
2014-04-29;24,00;24,14;23,931;24,21;23,582;24,00;23,905;118970,09293327229;2843964;229;
2014-04-28;23,721;23,861;23,582;23,931;23,303;23,861;23,711;120996,78696497735;2868906,9;281;
2014-04-25;23,303;23,442;23,512;24,00;23,024;23,303;23,527;85462,2760498204;2010662,1;181;
2014-04-24;23,652;23,721;25,047;25,187;23,512;23,721;24,237;236392,21588476136;5729510,5;368;
2014-04-23;24,698;24,838;22,675;24,838;22,326;24,838;23,998;564088,8611950361;13536830,9;720;
2014-04-22;22,466;22,605;23,024;23,024;22,396;22,605;22,584;130631,46679603918;2950155,1;299;
2014-04-17;22,745;22,814;22,605;22,884;22,466;22,814;22,782;16818,407190966903;383156,2;59;
2014-04-16;22,466;22,605;22,535;22,884;22,466;22,605;22,632;78492,11121517987;1776405,6;150;
2014-04-15;22,466;22,605;22,675;23,163;22,466;22,466;22,788;62864,780926862826;1432542,2;180;
